date,values
2024-05-18,108.02896025420355
2024-05-19,106.44092564533645
2024-05-20,107.21084106493029
2024-05-21,107.77844211092201
2024-05-22,107.59258769227876
2024-05-23,106.80595335970123
2024-05-24,106.97158746973604
2024-05-25,106.74820233530617
2024-05-26,105.78959195399104
2024-05-27,107.31458250711461
2024-05-28,106.60119350101252
2024-05-29,106.4093788350955
2024-05-30,105.88049561846641
2024-05-31,105.14440609188789
2024-06-01,105.76965218130951
2024-06-02,105.56332046626153
2024-06-03,106.3020036560324
2024-06-04,105.67538456534567
2024-06-05,106.19648953567344
2024-06-06,106.38007947109362
2024-06-07,105.75676113253805
2024-06-08,106.83814117907478
2024-06-09,106.79694545432585
2024-06-10,106.58241458406488
2024-06-11,105.97740053180756
2024-06-12,107.66193448093458
2024-06-13,106.7881143717708
2024-06-14,105.9225575609346
2024-06-15,106.69711152129963
2024-06-16,106.09212165964414
2024-06-17,106.23328224417925
2024-06-18,106.38838566479843
2024-06-19,107.2455248715547
2024-06-20,105.16246458046466
2024-06-21,106.20975661853095
2024-06-22,105.99033805143148
2024-06-23,106.3326936806302
2024-06-24,106.13582663486228
2024-06-25,106.20300290548508
2024-06-26,106.06347919305807
2024-06-27,105.40045564277531
2024-06-28,106.51403025231745
2024-06-29,105.89407946907875
2024-06-30,106.17226374104281
2024-07-01,105.518685743283
2024-07-02,106.12691563858641
2024-07-03,105.54817807757408
2024-07-04,105.94752383879597
2024-07-05,106.18919883646862
2024-07-06,105.8852930695225
2024-07-07,105.89116983075684
2024-07-08,105.73608683111092
2024-07-09,106.21713321193349
2024-07-10,105.70889869075828
2024-07-11,106.15247690647213
2024-07-12,105.96020748601732
2024-07-13,105.95479243854895
2024-07-14,105.67747328217844
2024-07-15,106.00949941238243
2024-07-16,105.95477971490597
2024-07-17,105.65784459850678
2024-07-18,105.84872120932688
2024-07-19,105.78057056836246
2024-07-20,105.68868979467011
2024-07-21,105.65605587668763
2024-07-22,105.9168235914961
2024-07-23,105.56693568036835
2024-07-24,105.5914970325913
2024-07-25,105.7310319727709
2024-07-26,105.73866857333084
2024-07-27,105.54224685752563
2024-07-28,105.70824172245213
2024-07-29,105.63495002254786
2024-07-30,105.51810902073373
2024-07-31,105.60217495165816
2024-08-01,105.72358831854339
2024-08-02,105.5303805005279
